0114109621567698_,1,AGUASCALIENTES,2,ASIENTOS,LA DICHOSA,Ejido
0114109621567735_,1,AGUASCALIENTES,2,ASIENTOS,LAS ADJUNTAS,Ejido
0114109621567754_,1,AGUASCALIENTES,2,ASIENTOS,LAS FRAGUAS,Ejido
0114109621567791_,1,AGUASCALIENTES,2,ASIENTOS,LAS NEGRITAS,Ejido
0114109621567809_,1,AGUASCALIENTES,2,ASIENTOS,MOLINO VIEJO Y SU ANEXO LA SOLEDAD,Ejido
0114109621567847_,1,AGUASCALIENTES,2,ASIENTOS,MOLINOS,Ejido
0114109621567865_,1,AGUASCALIENTES,2,ASIENTOS,OJO DE AGUA DE LOS SAUCES,Ejido
0114109621567903_,1,AGUASCALIENTES,2,ASIENTOS,OJO DE AGUA DE ROSALES,Ejido
0114109621567921_,1,AGUASCALIENTES,2,ASIENTOS,PILOTOS,Ejido
0114109621567958_,1,AGUASCALIENTES,2,ASIENTOS,RANCHO MOCHO,Ejido
0114109621568004_,1,AGUASCALIENTES,2,ASIENTOS,RANCHO SECO Y ANEXAS,Ejido
0114109621568032_,1,AGUASCALIENTES,2,ASIENTOS,RANCHO VIEJO (PINO SUAREZ),Ejido
0114109621568069_,1,AGUASCALIENTES,2,ASIENTOS,SAN ANTONIO DE LOS MARTINEZ,Ejido
0114109621568087_,1,AGUASCALIENTES,2,ASIENTOS,SAN GIL,Ejido
0114109621568126_,1,AGUASCALIENTES,2,ASIENTOS,SAN JOSE DEL RIO,Ejido
0114109621568144_,1,AGUASCALIENTES,2,ASIENTOS,SAN RAFAEL,Ejido
0114109621568172_,1,AGUASCALIENTES,2,ASIENTOS,TEPETATILLO,Ejido
0114109621568200_,1,AGUASCALIENTES,2,ASIENTOS,VIUDAS DE ORIENTE,Ejido
0114109621568227_,1,AGUASCALIENTES,2,ASIENTOS,VIUDAS DE PONIENTE,Ejido
0114109621568265_,1,AGUASCALIENTES,3,CALVILLO,CALVILLO,Ejido
0114109621568283_,1,AGUASCALIENTES,3,CALVILLO,EL HUARACHE,Ejido
01003E0203020001_,1,AGUASCALIENTES,3,CALVILLO,EL SALTILLO,Ejido
0114109621568321_,1,AGUASCALIENTES,3,CALVILLO,EL TERRERO,Ejido
0114109621568339_,1,AGUASCALIENTES,3,CALVILLO,EL TERRERO DEL REFUGIO DE LOS SERNA,Ejido
0114109621568376_,1,AGUASCALIENTES,3,CALVILLO,LA LABOR,Ejido
0114109621568432_,1,AGUASCALIENTES,3,CALVILLO,LA PRIMAVERA,Ejido
0114109621568467_,1,AGUASCALIENTES,3,CALVILLO,PRESA DE LOS SERNA,Ejido
0114109621568495_,1,AGUASCALIENTES,4,COSIO,COSIO,Ejido
0114109621568523_,1,AGUASCALIENTES,4,COSIO,EL REFUGIO,Ejido
0114109621568578_,1,AGUASCALIENTES,4,COSIO,EL SALERO,Ejido
0114109621568606_,1,AGUASCALIENTES,4,COSIO,GUADALUPITO,Ejido
0114109621568644_,1,AGUASCALIENTES,4,COSIO,LA PUNTA,Ejido
0114109621568663_,1,AGUASCALIENTES,4,COSIO,SANTA MARIA DE LA PAZ,Ejido
0114109621568700_,1,AGUASCALIENTES,4,COSIO,SOLEDAD DE ABAJO,Ejido
0114109621568719_,1,AGUASCALIENTES,4,COSIO,SOLEDAD DE ARRIBA Y ZACATEQUILLAS,Ejido
0114109621570977_,1,AGUASCALIENTES,10,EL LLANO,EL COPETILLO,Ejido
0114109621570995_,1,AGUASCALIENTES,10,EL LLANO,EL COTON Y ANEXOS,Ejido
0114109621571023_,1,AGUASCALIENTES,10,EL LLANO,EL HUIZACHE Y ANEXAS (SANTA ROSA),Ejido
0114109621571042_,1,AGUASCALIENTES,10,EL LLANO,EL MILAGRO,Ejido
0114109621571079_,1,AGUASCALIENTES,10,EL LLANO,EL MUERTO (JESUS TERAN),Ejido
0114109621571097_,1,AGUASCALIENTES,10,EL LLANO,EL NOVILLO,Ejido
0114109621571136_,1,AGUASCALIENTES,10,EL LLANO,EL RETOÑO,Ejido
0114109621571154_,1,AGUASCALIENTES,10,EL LLANO,EL TERREMOTO,Ejido
0114109621571191_,1,AGUASCALIENTES,10,EL LLANO,EL TILDIO,Ejido
0114109621571210_,1,AGUASCALIENTES,10,EL LLANO,FRANCISCO SARABIA,Ejido
0114109621571247_,1,AGUASCALIENTES,10,EL LLANO,LA LUZ,Ejido
0114109621570764_,1,AGUASCALIENTES,10,EL LLANO,LA UNION,Ejido
0114109621570819_,1,AGUASCALIENTES,10,EL LLANO,LOS CONOS,Ejido
0114109621571265_,1,AGUASCALIENTES,10,EL LLANO,MONTOYA,Ejido
0114109621570875_,1,AGUASCALIENTES,10,EL LLANO,OJO DE AGUA DE CRUCITAS,Ejido
0114109621570894_,1,AGUASCALIENTES,10,EL LLANO,PALO ALTO,Ejido
0114109621571303_,1,AGUASCALIENTES,10,EL LLANO,SAN FRANCISCO SEGUNDO DE LOS VIVEROS,Ejido
0114109621571321_,1,AGUASCALIENTES,10,EL LLANO,SAN JERONIMO,Ejido
0114109621571359_,1,AGUASCALIENTES,10,EL LLANO,SANDOVALES,Ejido
0114109621571377_,1,AGUASCALIENTES,10,EL LLANO,TERRITORIO,Ejido
0114109621568756_,1,AGUASCALIENTES,5,JESUS MARIA,BUENAVISTA,Ejido
0114109621568774_,1,AGUASCALIENTES,5,JESUS MARIA,EL AURERO LA LOMA Y EL REFUGIO,Ejido
0114109621568812_,1,AGUASCALIENTES,5,JESUS MARIA,GRACIAS A DIOS,Ejido
0114109621568830_,1,AGUASCALIENTES,5,JESUS MARIA,JESUS MARIA,Ejido
0114109621568868_,1,AGUASCALIENTES,5,JESUS MARIA,LOS ARQUITOS,Ejido
0114109621568886_,1,AGUASCALIENTES,5,JESUS MARIA,MARGARITAS,Ejido
0114109621568924_,1,AGUASCALIENTES,5,JESUS MARIA,MILPILLAS DE ABAJO,Ejido
0114109621568943_,1,AGUASCALIENTES,5,JESUS MARIA,PEDERNAL PRIMERO,Ejido
0114109621568980_,1,AGUASCALIENTES,5,JESUS MARIA,PEDERNAL SEGUNDO,Ejido
0114109621568998_,1,AGUASCALIENTES,5,JESUS MARIA,SAN ANTONIO DE LOS HORCONES,Ejido
0114109621569036_,1,AGUASCALIENTES,5,JESUS MARIA,TAPIAS VIEJAS,Ejido
0114109621569054_,1,AGUASCALIENTES,5,JESUS MARIA,TOMATINA,Ejido
